company_id,file_name,section,overall_sentiment,sentiment_score,confidence,chunk_count,positive_ratio,negative_ratio
1261333,1261333_10K_2021_0001261333-21-000059.json,item_7,Positive,0.07,1.0,84,0.21,0.15
1261333,1261333_10K_2021_0001261333-21-000059.json,item_1A,Negative,-0.4,1.0,203,0.07,0.56
1262039,1262039_10K_2020_0001262039-21-000008.json,item_7,Positive,0.09,1.0,107,0.23,0.12
1262039,1262039_10K_2020_0001262039-21-000008.json,item_1A,Negative,-0.55,1.0,252,0.04,0.69
1280058,1280058_10K_2020_0001280058-21-000006.json,item_7,Negative,-0.09,1.0,163,0.22,0.31
1280058,1280058_10K_2020_0001280058-21-000006.json,item_1A,Negative,-0.48,1.0,88,0.05,0.62
1286225,1286225_10K_2020_0001286225-21-000007.json,item_7,Neutral,0.04,1.0,143,0.14,0.09
1286225,1286225_10K_2020_0001286225-21-000007.json,item_1A,Negative,-0.46,1.0,209,0.03,0.58
1288847,1288847_10K_2020_0001288847-21-000029.json,item_7,Positive,0.09,1.0,73,0.22,0.11
1288847,1288847_10K_2020_0001288847-21-000029.json,item_1A,Negative,-0.48,1.0,250,0.05,0.61
1301991,1301991_10K_2021_0001829126-21-011870.json,item_7,Negative,-0.38,1.0,22,0.0,0.5
1301991,1301991_10K_2021_0001829126-21-011870.json,item_1A,Negative,-0.5,1.0,58,0.0,0.59
1321655,1321655_10K_2020_0001193125-21-060650.json,item_7,Neutral,0.04,1.0,120,0.19,0.16
1321655,1321655_10K_2020_0001193125-21-060650.json,item_1A,Negative,-0.41,1.0,422,0.03,0.52
1327567,1327567_10K_2021_0001327567-21-000029.json,item_7,Positive,0.08,1.0,100,0.24,0.14
1327567,1327567_10K_2021_0001327567-21-000029.json,item_1A,Negative,-0.51,1.0,224,0.03,0.63
1327811,1327811_10K_2021_0001327811-21-000020.json,item_7,Positive,0.09,1.0,70,0.27,0.16
1327811,1327811_10K_2021_0001327811-21-000020.json,item_1A,Negative,-0.48,1.0,200,0.01,0.59
1337619,1337619_10K_2020_0001628280-21-003457.json,item_7,Negative,-0.07,1.0,146,0.11,0.19
1337619,1337619_10K_2020_0001628280-21-003457.json,item_1A,Negative,-0.43,1.0,116,0.02,0.56
1341439,1341439_10K_2021_0001564590-21-033616.json,item_7,Neutral,0.0,1.0,136,0.17,0.17
1341439,1341439_10K_2021_0001564590-21-033616.json,item_1A,Negative,-0.54,1.0,108,0.02,0.69
1342936,1342936_10K_2020_0001376474-21-000115.json,item_7,Negative,-0.16,1.0,19,0.05,0.21
1348036,1348036_10K_2020_0001564590-21-008919.json,item_7,Positive,0.05,1.0,149,0.17,0.11
1348036,1348036_10K_2020_0001564590-21-008919.json,item_1A,Negative,-0.49,1.0,93,0.04,0.63
1351636,1351636_10K_2020_0001564590-21-016134.json,item_7,Neutral,-0.01,1.0,96,0.17,0.17
1351636,1351636_10K_2020_0001564590-21-016134.json,item_1A,Negative,-0.5,1.0,188,0.04,0.63
1353283,1353283_10K_2021_0001353283-21-000009.json,item_7,Negative,-0.07,1.0,81,0.11,0.21
1353283,1353283_10K_2021_0001353283-21-000009.json,item_1A,Negative,-0.38,1.0,228,0.07,0.51
1353499,1353499_10K_2020_0001344676-21-000004.json,item_7,Negative,-0.11,1.0,26,0.08,0.19
1362190,1362190_10K_2020_0001104659-21-035092.json,item_7,Positive,0.16,1.0,52,0.23,0.04
1362190,1362190_10K_2020_0001104659-21-035092.json,item_1A,Negative,-0.45,1.0,85,0.05,0.58
1366561,1366561_10K_2021_0001366561-21-000036.json,item_7,Negative,-0.06,1.0,119,0.12,0.18
1366561,1366561_10K_2021_0001366561-21-000036.json,item_1A,Negative,-0.52,1.0,188,0.04,0.65
1370880,1370880_10K_2020_0001370880-21-000010.json,item_7,Negative,-0.1,1.0,135,0.09,0.21
1370880,1370880_10K_2020_0001370880-21-000010.json,item_1A,Negative,-0.47,1.0,302,0.04,0.6
1372612,1372612_10K_2021_0001564590-21-014377.json,item_7,Neutral,0.05,1.0,133,0.17,0.13
1372612,1372612_10K_2021_0001564590-21-014377.json,item_1A,Negative,-0.49,1.0,180,0.02,0.61
1373715,1373715_10K_2020_0001373715-21-000061.json,item_7,Neutral,0.04,1.0,107,0.2,0.18
1373715,1373715_10K_2020_0001373715-21-000061.json,item_1A,Negative,-0.44,1.0,127,0.04,0.55
1378590,1378590_10K_2021_0001437749-21-028984.json,item_7,Negative,-0.08,1.0,74,0.08,0.18
1378590,1378590_10K_2021_0001437749-21-028984.json,item_1A,Negative,-0.55,1.0,55,0.0,0.64
1385867,1385867_10K_2021_0001385867-21-000011.json,item_7,Positive,0.08,1.0,88,0.17,0.09
1385867,1385867_10K_2021_0001385867-21-000011.json,item_1A,Negative,-0.46,1.0,209,0.05,0.59
1389002,1389002_10K_2020_0001564590-21-009094.json,item_7,Negative,-0.18,1.0,102,0.03,0.23
1389002,1389002_10K_2020_0001564590-21-009094.json,item_1A,Negative,-0.47,1.0,195,0.04,0.6
